1	U82271	11/11/2019 3:28:58 PM	N3130 N11621 N12917 N4574 N12140 N9748	N13390-0 N7180-0 N20785-0 N6937-0 N15776-0 N25810-0 N20820-0 N6885-0 N27294-0 N18835-0 N16945-0 N7410-0 N23967-0 N22679-0 N20532-0 N26651-0 N22078-0 N4098-0 N16473-0 N13841-0 N15660-0 N25787-0 N2315-0 N1615-0 N9087-0 N23880-0 N3600-0 N24479-0 N22882-0 N26308-0 N13594-0 N2220-0 N28356-0 N17083-0 N21415-0 N18671-0 N9440-0 N17759-0 N10861-0 N21830-0 N8064-0 N5675-0 N15037-0 N26154-0 N15368-1 N481-0 N3256-0 N20663-0 N23940-0 N7654-0 N10729-0 N7090-0 N23596-0 N15901-0 N16348-0 N13645-0 N8124-0 N20094-0 N27774-0 N23011-0 N14832-0 N15971-0 N27729-0 N2167-0 N11186-0 N18390-0 N21328-0 N10992-0 N20122-0 N1958-0 N2004-0 N26156-0 N17632-0 N26146-0 N17322-0 N18403-0 N17397-0 N18215-0 N14475-0 N9781-0 N17958-0 N3370-0 N1127-0 N15525-0 N12657-0 N10537-0 N18224-0
2	U84185	11/12/2019 10:36:47 AM	N27209 N11723 N4617 N12320 N11333 N24461 N22111 N14026 N21705 N17551 N17039	N13089-0 N18101-0 N1248-0 N26273-0 N12770-1 N1132-0 N13649-0
3	U11552	11/11/2019 1:03:52 PM	N2139	N18390-0 N10537-0 N23967-1
4	U68381	11/11/2019 6:44:05 AM	N27420 N11621 N25416 N25457 N5124 N11751 N11751 N16918 N5124 N27030 N20782 N13820 N24638 N4589 N12871 N1038 N20703 N23344 N28493 N6122 N12242 N11657 N28154 N10989 N3994 N14776 N28493 N26260 N8067 N10289 N21020 N10031 N10636 N5638 N26159 N2158 N3842 N23750 N2659 N13700 N27591 N27304 N28322 N1423 N9841 N425 N4384 N23628 N2908 N952 N21545 N828 N18620 N25310 N828 N26748 N10698 N16242 N5740 N10231 N1156 N9807 N6596 N14201	N15660-0 N18609-0 N2831-0 N5677-0 N19010-0 N1502-0 N19215-0 N6753-0 N21602-0 N6078-0 N15525-0 N16169-0 N4022-0 N16856-0 N16309-0 N28261-0 N425-0 N7910-0 N7114-0 N18390-1 N25787-0 N27982-0 N8420-0 N8256-0 N13359-0 N843-0 N4894-0 N26156-0 N24345-0 N18780-0 N15947-0 N23392-0 N5675-0 N26467-0 N9781-0 N3860-0 N1796-0 N23511-0 N14030-0 N10264-0 N27379-0 N23603-0 N10821-0 N21335-0 N26308-0 N18786-0 N3403-0 N16833-0 N5780-0 N6823-0 N10151-0 N19679-0 N15858-0 N16296-0 N7090-0 N21194-0 N23860-0 N6342-0 N1313-0 N2342-0 N16945-0 N6677-0 N8260-0 N21101-0 N18162-0 N19030-0 N19577-0 N8427-0 N10552-0 N1127-0
5	U52303	11/12/2019 3:11:52 AM	N1332 N12667	N15645-0 N7911-1
6	U26536	11/11/2019 3:13:36 PM	N17674 N7165 N18669 N20855 N9748 N44 N24245 N2242 N17099 N2079 N12377 N22178 N9419 N355 N27868 N837 N14487 N2061 N28025 N22194 N6036 N28482 N17953	N15244-0 N2167-0 N20122-0 N16945-0 N9480-0 N3600-0 N7180-0 N17632-0 N23940-0 N19030-0 N5558-0 N13116-0 N20785-0 N7279-0 N23967-0 N27343-0 N14475-1 N15776-0 N1615-0 N15368-0 N2315-0 N18835-0 N14832-0 N16473-0 N20387-0 N10537-0 N11186-0 N10861-0 N23880-0 N15043-0 N23596-0 N21101-0 N22372-0 N6570-0
7	U47186	11/13/2019 10:31:45 AM	N8452 N20704 N20204 N24658 N17023 N9660 N5209 N25232 N15375 N25425 N23029 N17109 N11983 N7070 N27079 N11950 N11029 N6868	N20702-0 N24545-0 N17138-0 N2755-0 N9671-0 N4541-0 N2449-0 N9410-0 N8836-0 N4022-0 N27650-0 N11442-0 N23180-0 N2665-0 N8506-0 N2892-0 N1058-0 N16540-0 N16008-0 N8187-0 N19695-0 N20290-0 N5846-0 N20868-0 N15539-0 N16337-0 N25348-0 N24450-0 N7727-0 N13224-0 N14088-0 N14836-0 N206-0 N106-0 N11567-1 N18220-0 N9749-0 N26651-0 N4566-0 N5563-0 N27440-0 N15970-0 N19445-0 N25091-0 N2127-0 N5191-0 N10769-0 N7519-0 N9444-0 N28036-0 N8546-0 N23202-0 N25163-0 N21807-0 N27860-0 N18943-0 N17278-0 N23029-0 N9468-0 N14030-0 N14054-0 N19088-0 N16385-0 N27907-0 N25188-0 N16152-0 N13140-0 N8718-0 N11022-0 N11377-0 N25192-0 N26284-0 N25597-0 N22220-0 N21206-0 N457-0 N23842-0 N2096-0 N11071-0 N13392-0 N11139-0 N2270-0 N2579-0 N17618-0 N9884-0 N25017-0 N11672-0 N5821-0 N19677-0 N6452-0 N21641-0 N27116-0 N2494-0 N25157-0 N25142-0 N16787-0 N8151-0 N3288-0 N5558-0 N15525-0 N8557-0 N6816-0 N12009-0 N13390-0 N19430-0 N4570-0 N11284-0 N3162-0 N17073-0 N8907-0 N22521-0 N975-0 N22151-0 N23543-0 N12709-0 N27337-0 N2355-0 N6672-0 N21268-0 N16181-0 N18529-0 N14544-0 N932-0 N5479-0 N15689-0 N19748-0 N24351-0 N25113-0
8	U63195	11/10/2019 4:18:20 PM	N14405 N17402	N10550-0 N16945-1 N8256-0 N26463-0 N15037-1 N18038-0 N12577-0 N25787-0 N4894-0 N13997-0 N19215-0
9	U70695	11/12/2019 1:52:07 AM	N1724 N19635 N8238 N22753 N17607 N14340 N6383 N10311 N4617 N26502 N1392 N5596 N15552 N13203	N17632-0 N16474-0 N16008-0 N3244-0 N17968-0 N22163-0 N8562-0 N11389-0 N12981-0 N8612-0 N17614-0 N27133-0 N27294-0 N22521-0 N25333-0 N5051-1 N13649-0 N4107-0 N24649-0 N24780-0 N13580-0 N27565-0 N5070-0 N23422-0 N15885-0 N8160-0 N14073-0 N4187-0 N8837-0 N18489-0 N510-0 N9916-0 N23491-0 N10004-0 N5805-0 N4441-0 N19969-0 N3045-0 N7911-0 N2755-0 N3529-0 N294-0 N15852-0 N1400-0 N2690-0 N11628-0 N10602-1 N15645-0 N6937-0 N9966-0 N11440-0 N19846-0 N20755-0 N20643-0 N255-0 N16813-0
10	U86374	11/12/2019 11:49:58 AM	N8544 N7481 N8262	N21713-0 N8510-0 N9310-0 N19695-0 N24973-0 N24780-0 N2299-0 N13697-0 N13089-0 N25333-0 N26273-0 N24971-0 N5785-0 N13649-0 N1248-0 N13468-0 N16787-0 N9480-0 N26549-0 N15536-0 N27291-0 N7483-0 N18215-0 N15885-0 N21784-0 N23853-0 N4187-0 N25192-0 N22995-0 N15901-0 N1132-0 N10118-0 N25142-0 N23491-0 N3148-0 N10140-0 N16337-0 N10769-0 N18914-0 N12323-0 N14118-1 N4137-0 N509-0 N17138-0 N12770-0 N24984-0 N676-0 N7566-0 N19376-0
11	U72944	11/12/2019 7:27:24 AM	N3076 N6887 N16955 N16699 N27700 N23620 N9045 N12838 N2242 N12838 N18859 N27910	N9310-1 N977-0 N28002-0 N19695-0 N7911-0 N24296-0 N10118-0 N5051-0 N13649-0
12	U13132	11/11/2019 7:08:47 AM	N18748 N17838 N15409 N20561 N173 N17393 N5542 N24917 N13455 N710 N15649 N13176 N12441 N20209 N1945	N15525-0 N15433-0 N27910-0 N24150-0 N13661-0 N27539-1 N13359-0 N25501-0 N3970-0 N23511-0 N18390-0 N27774-0 N18780-0 N26467-0 N16474-0 N23860-0
